filename,onset,offset,speaker,phonemes
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,0.0,1.96,KCHI,ʌ b æ b a b a b æ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,2.24,3.68,KCHI,w a w a w ə w a
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,4.54,5.48,KCHI,w ʌ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,6.52,7.56,KCHI,ʌ w ʌ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,12.08,13.0,KCHI,
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,13.72,14.8,KCHI,æ h æ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,16.72,18.26,KCHI,b ʌ b a w ə
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,19.04,19.98,KCHI,ə b ʌ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,27.08,29.7,KCHI,b ʌ b ə b æ b ʌ b ɑ b a b ʌ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,30.08,32.34,KCHI,b ɑ b ɑ b ɑ b ɑ b ʊ w a w ʌ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,32.58,34.04,KCHI,j ʌ d æ b ʊ
sub-L4M8P2T7S0_ses-01_task-motorplay_run-04_audio__b3d609a3074945ffc18decd7d14f6e5e.wav,35.24,36.1,KCHI,b æ
