filename,onset,offset,speaker,phonemes
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,1.38,2.3,KCHI,d ə t i θ
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,5.66,11.54,KCHI,w ʌ n w ɛ ɡ ə t u v ɛ d ə f v ɪ d ə n ə w ɪ s
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,11.94,14.24,KCHI,f o e v ɛ d o f a ɪ
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,14.36,15.48,KCHI,ɛ w ɪ s ɛ t
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,15.66,19.9,KCHI,ɛ t ə n o w ɪ s a p ɪ w ɪ t o i
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,25.26,25.94,KCHI,s i ɹ o
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,26.92,27.28,KCHI,t ɪ
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,29.44,30.12,KCHI,n a ɪ n
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,31.32,31.84,KCHI,e ɪ t
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,32.52,33.08,KCHI,t ɛ v ə n
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,33.58,34.0,KCHI,d ɪ t
sub-L5V8G4A3K7_ses-02_task-socialroutine_run-02_audio__2c4261b632375159174d004b85f1661d.wav,34.6,35.08,KCHI,f a ɪ v
