filename,onset,offset,speaker,phonemes
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,0.72,3.96,KCHI,j ɐ f a v e l a d ɐ s t o w k ɔ
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,5.3,7.42,KCHI,ɔ j a j a l w ɔ
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,8.56,10.52,KCHI,a h æ ð æ ə
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,11.94,12.52,KCHI,b
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,12.8,13.54,KCHI,ʌ
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,14.0,14.56,KCHI,d
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,27.76,28.56,KCHI,ɔ j o
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,29.0,29.36,KCHI,d æ
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,35.82,36.38,KCHI,
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,37.06,39.36,KCHI,v w a t a a
sub-L7Z6Q2U6Y6_ses-02_task-specialoccasion_run-01_audio__e6d6bf9ca10b3c504fabe0c018d91dd9.wav,41.18,45.42,KCHI,a w a w a t ə ə
