filename,onset,offset,speaker,phonemes
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,0.32,3.94,KCHI,
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,9.0,11.08,KCHI,i k ɐ
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,27.86,31.82,KCHI,a b a
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,38.4,39.44,KCHI,v e
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,46.28,47.38,KCHI,ɛ i ç i
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,47.76,50.52,KCHI,k u b ɐ
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,61.54,61.9,KCHI,
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,62.28,63.68,KCHI,
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,71.64,71.86,KCHI,
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,77.94,78.5,KCHI,a
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,80.62,81.82,KCHI,a
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,82.16,82.72,KCHI,
sub-M4R4B8C7G8_ses-01_task-socialroutine_run-01_audio__979c6bb70538bd8621d6c2cb65b5d9a2.wav,88.76,89.24,KCHI,n ɐ̃
