filename,onset,offset,speaker,phonemes
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,2.62,3.32,KCHI,
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,3.98,4.2,KCHI,
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,18.66,19.76,KCHI,
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,21.12,21.72,KCHI,n æ
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,24.56,25.24,KCHI,
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,25.38,25.92,KCHI,
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,27.38,27.86,KCHI,æ
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,28.64,29.34,KCHI,
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,29.68,29.86,KCHI,
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,31.16,31.44,KCHI,
sub-M5F7G8S4F0_ses-01_task-toyplay_run-06_audio__53046e887f432ba272bf47419afe6d6b.wav,33.7,34.1,KCHI,m
