filename,onset,offset,speaker,phonemes
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,6.9,7.28,KCHI,h m
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,9.1,10.28,KCHI,ɪ ɪ ɛ
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,11.3,14.08,KCHI,ɛ æ ɛ
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,15.08,17.98,KCHI,ɛ a a a a a
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,18.24,18.74,KCHI,a
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,19.4,24.08,KCHI,œ
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,24.82,25.94,KCHI,ɛ
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,26.54,29.58,KCHI,a
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,29.92,31.0,KCHI,a
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,31.44,33.5,KCHI,a
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,34.14,34.4,KCHI,
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,36.02,37.7,KCHI,a a
sub-N1B1A2T8S1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__a34b718878714ddd7dbb276856711fa7.wav,49.4,50.66,KCHI,m a j a
