filename,onset,offset,speaker,phonemes
sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-02_audio__4641026567f89845bfd20644bbd84f1b.wav,0.86,6.3,KCHI,f w ɛ ɛ
sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-02_audio__4641026567f89845bfd20644bbd84f1b.wav,7.44,9.3,KCHI,
sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-02_audio__4641026567f89845bfd20644bbd84f1b.wav,9.6,10.32,KCHI,a
sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-02_audio__4641026567f89845bfd20644bbd84f1b.wav,10.56,15.24,KCHI,a a a
sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-02_audio__4641026567f89845bfd20644bbd84f1b.wav,16.18,17.98,KCHI,
sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-02_audio__4641026567f89845bfd20644bbd84f1b.wav,18.8,22.54,KCHI,a
sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-02_audio__4641026567f89845bfd20644bbd84f1b.wav,24.44,31.52,KCHI,a
sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-02_audio__4641026567f89845bfd20644bbd84f1b.wav,31.84,32.5,KCHI,
sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-02_audio__4641026567f89845bfd20644bbd84f1b.wav,33.12,36.4,KCHI,a
sub-N2Z6J3E5Q5_ses-01_task-socialroutine_run-02_audio__4641026567f89845bfd20644bbd84f1b.wav,37.12,37.94,KCHI,
