filename,onset,offset,speaker,phonemes
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,15.14,15.92,KCHI,t a n e
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,19.5,20.18,KCHI,
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,23.88,24.76,KCHI,b ʌ
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,26.2,27.86,KCHI,b o d a ɪ
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,29.48,30.72,KCHI,w o d a ɪ
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,33.58,34.46,KCHI,u
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,46.02,47.48,KCHI,a j ɛ
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,48.02,49.78,KCHI,
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,71.9,73.02,KCHI,a ɡ ɛ l
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,79.96,80.4,KCHI,
sub-N3C7S2N8O0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__151dcfc9b0bd72919d04ff6391d911c9.wav,85.14,86.04,KCHI,w ɛ
