filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,0.82,2.1,KCHI,æ
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,9.62,9.88,KCHI,
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,17.08,17.24,KCHI,
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,17.36,18.96,KCHI,
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,23.88,24.66,KCHI,
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,35.38,36.8,KCHI,n ʌ
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,38.72,42.28,KCHI,æ n o
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,43.78,44.68,KCHI,
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,46.8,47.64,KCHI,æ
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,48.76,50.08,KCHI,
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,51.4,51.9,KCHI,
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,53.02,55.16,KCHI,u n o a
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,60.96,62.42,KCHI,j u d o
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,64.14,66.06,KCHI,n o
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,66.54,66.7,KCHI,
sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-14_audio__fe72e95fb8bf264ebcacca121ec0918f.wav,72.76,73.68,KCHI,a
