filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,0.04,0.72,KCHI,n ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,5.62,6.42,KCHI,m m
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,8.74,9.3,KCHI,m
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,17.0,17.76,KCHI,h m
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,19.9,20.4,KCHI,ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,28.16,28.64,KCHI,m
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,44.54,45.38,KCHI,ɡ ʊ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,56.84,57.06,KCHI,m
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,77.34,77.86,KCHI,m
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,86.6,87.48,KCHI,ʌ d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,91.08,91.7,KCHI,h ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,92.8,93.88,KCHI,d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,107.74,109.16,KCHI,ʌ p m
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-08_audio__8fec3767359e438fdeda81003ca88dd6.wav,110.5,111.26,KCHI,ʌ
