filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,2.32,2.8,KCHI,h ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,5.42,5.94,KCHI,ɛ n
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,7.96,8.86,KCHI,n
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,9.34,11.98,KCHI,ɛ h ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,14.76,15.34,KCHI,b o
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,15.84,16.18,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,28.58,29.72,KCHI,ɛ d z ə
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,31.84,32.22,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,32.5,34.1,KCHI,ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,34.3,35.06,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,35.82,36.76,KCHI,ɪ s
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,40.48,41.94,KCHI,æ æ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,45.36,45.74,KCHI,e
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-09_audio__49f4aa651a7dc2a79f63dea08c005086.wav,48.34,48.78,KCHI,ɛ
