filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,60.06,60.54,KCHI,d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,62.5,63.34,KCHI,t ɪ t ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,64.52,65.8,KCHI,ʊ t ʊ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,67.24,68.16,KCHI,t ʌ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,76.38,77.3,KCHI,ɪ d u ɪ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,79.8,80.36,KCHI,d ʊ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,81.2,82.32,KCHI,h ə d ʌ m
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,83.18,84.16,KCHI,d ʊ b ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,86.18,87.1,KCHI,d ɛ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,89.6,90.2,KCHI,d æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,90.9,91.54,KCHI,d ɪ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,92.76,93.54,KCHI,ə t ɐ̃
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,110.9,112.02,KCHI,t æ t n t s
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,114.76,115.42,KCHI,d ʌ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,117.96,119.28,KCHI,d ʌ d ʊ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,120.7,121.74,KCHI,d ʌ n t ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,133.74,134.4,KCHI,d ɛ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-13_audio__fa9c7bfc37edeb7ab7e9f9c95a8c17a7.wav,135.9,136.5,KCHI,d ɛ
