filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,9.0,9.6,KCHI,d ʌ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,42.32,43.78,KCHI,ɛ d ɪ d ɪ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,46.56,47.4,KCHI,d u
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,50.6,52.84,KCHI,ɛ d ɪ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,53.42,53.74,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,54.8,56.82,KCHI,æ b a b ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,59.34,62.32,KCHI,ʊ b ʌ ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,79.96,80.84,KCHI,ɛ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,96.74,97.44,KCHI,d ʌ k
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,98.12,98.88,KCHI,w ʌ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,103.78,104.5,KCHI,ʌ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-16_audio__1e9ad20f83f3458bb783d7d6716de007.wav,110.68,112.22,KCHI,d æ d æ t
