filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,5.72,7.36,KCHI,d æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,20.66,21.48,KCHI,ɛ æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,22.96,23.42,KCHI,d ɪ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,59.86,61.56,KCHI,d ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,65.78,66.52,KCHI,d ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,82.24,83.0,KCHI,d ʊ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,84.1,84.66,KCHI,d ɛ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,89.42,90.38,KCHI,d ɛ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,92.42,93.4,KCHI,h ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,93.82,95.94,KCHI,ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,111.24,111.44,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-20_audio__aba2310fef59a48053d9c98034dc735d.wav,133.86,135.32,KCHI,
