filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,6.96,7.5,KCHI,h ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,8.68,9.66,KCHI,ɪ d æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,10.12,11.02,KCHI,d æ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,15.92,16.58,KCHI,h ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,19.48,21.54,KCHI,j ɪ d ɪ d
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,24.84,25.28,KCHI,ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,26.28,27.06,KCHI,d æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,27.86,28.42,KCHI,d æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,31.84,32.44,KCHI,d ʌ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,35.82,36.8,KCHI,æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,37.34,38.14,KCHI,æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,38.78,39.58,KCHI,æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,40.44,41.44,KCHI,æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,41.68,42.28,KCHI,a ɪ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-40_audio__a92ded7bbc02394dd0dde7d08248bd8c.wav,45.16,45.92,KCHI,ɛ
