filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,0.0,3.14,KCHI,æ æ a
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,4.14,5.0,KCHI,æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,6.2,6.84,KCHI,ʊ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,7.96,13.66,KCHI,ɛ æ æ æ æ æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,14.7,15.92,KCHI,æ n ə
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,21.02,21.84,KCHI,m u
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,22.72,23.32,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,23.42,23.6,KCHI,u
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,27.86,28.66,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,30.6,32.54,KCHI,h h æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,33.3,42.88,KCHI,h æ h æ æ h æ h æ h æ h æ h æ h æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,43.24,44.4,KCHI,æ æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,46.38,47.36,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,48.42,50.02,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,51.22,54.16,KCHI,ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,54.38,55.18,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,55.72,56.22,KCHI,h
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,65.82,66.18,KCHI,ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,66.86,68.54,KCHI,ʌ ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,69.98,71.04,KCHI,ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,73.36,75.2,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,75.48,77.26,KCHI,ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,78.36,82.28,KCHI,ə ə a a
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,87.1,87.8,KCHI,d e
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,91.4,92.28,KCHI,n u
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-53_audio__69a18daf51656bb87e3923b423098046.wav,93.9,97.74,KCHI,a h ɛ
