filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,2.56,3.98,KCHI,ɪ b ʌ b
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,4.16,4.96,KCHI,t ʌ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,6.52,7.4,KCHI,t ɪ d æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,13.1,13.64,KCHI,d ɪ d ɪ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,13.98,15.16,KCHI,d ɪ d æ d ʌ d
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,16.88,19.54,KCHI,d ʌ d ʌ d ɪ d ɪ d ʌ d ʌ d
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,22.7,23.48,KCHI,ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,26.7,27.54,KCHI,ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,31.34,32.72,KCHI,a d a d
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,33.6,36.88,KCHI,d ʌ d ʌ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-60_audio__b0b3ecb0b86e50a3b9bda0cd992f4055.wav,40.26,43.54,KCHI,d ɪ d i d ɪ
