filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,22.84,23.34,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,23.88,24.6,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,25.16,26.38,KCHI,ɛ d
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,27.22,27.68,KCHI,d ɪ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,28.9,29.3,KCHI,ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,31.48,31.84,KCHI,a
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,34.1,34.62,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,38.56,39.8,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,43.78,47.76,KCHI,i
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,69.12,71.0,KCHI,d ɪ t h o
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,101.24,102.54,KCHI,ə d ə d æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,103.48,106.34,KCHI,t a t w u
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,108.32,110.46,KCHI,d e
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,115.42,116.46,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,116.64,118.72,KCHI,d u
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,122.48,123.0,KCHI,t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-63_audio__1795ade8d25748963438eda3ae826ee1.wav,123.38,124.86,KCHI,h ɛ z ɛ b ə v ə
