filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,5.14,7.18,KCHI,d ʌ d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,7.96,9.32,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,13.48,14.18,KCHI,d ʌ s
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,16.94,17.38,KCHI,d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,21.08,22.32,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,22.66,24.82,KCHI,d ʌ d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,32.54,34.96,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,38.92,42.96,KCHI,ʌ d ʌ d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,43.18,43.66,KCHI,d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,45.98,46.82,KCHI,d ʌ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,51.4,52.0,KCHI,d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,52.86,53.52,KCHI,ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,60.04,61.02,KCHI,t ʊ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,73.64,75.8,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,81.42,83.38,KCHI,d u d u d u ɡ u
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,98.9,99.5,KCHI,d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,120.12,120.76,KCHI,d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,131.46,132.18,KCHI,d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,161.0,161.68,KCHI,d ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,168.8,169.62,KCHI,d ɪ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,172.06,172.82,KCHI,d ʌ t
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,177.22,178.1,KCHI,a b ɪ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-68_audio__cef12119c40894e2b891623e734f3138.wav,181.3,181.88,KCHI,ʌ
