filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,7.96,8.52,KCHI,b ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,17.54,17.9,KCHI,i
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,27.66,27.84,KCHI,ɡ ʊ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,29.4,30.08,KCHI,d ɛ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,34.08,34.52,KCHI,m h m
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,36.26,37.62,KCHI,
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,46.48,47.28,KCHI,æ æ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,48.3,50.28,KCHI,ʌ o o j ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,52.2,52.7,KCHI,ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,53.62,53.82,KCHI,ʒ ʌ
sub-N3L7A1I2B9_ses-01_task-generalsocialcommunicationinteraction_run-76_audio__0b26f365ce2e0917d118d83047633d10.wav,62.02,62.94,KCHI,a
