filename,onset,offset,speaker,phonemes
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,3.98,4.6,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,6.62,7.1,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,10.3,11.94,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,12.4,12.84,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,13.44,14.12,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,17.54,19.08,KCHI,d ə j u
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,23.22,23.5,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,25.04,25.72,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,39.8,40.36,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,41.16,41.92,KCHI,h æ
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,42.92,43.62,KCHI,h æ
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,55.72,56.02,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,57.5,58.1,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,58.68,59.12,KCHI,n
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,60.54,62.06,KCHI,
sub-N3L7A1I2B9_ses-01_task-socialroutine_run-08_audio__ee3c1e15fe6ba7bba398286a0cfe791e.wav,73.0,74.82,KCHI,ɛ ʌ
