filename,onset,offset,speaker,phonemes
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,0.0,0.88,KCHI,a
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,1.42,2.38,KCHI,
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,3.16,4.12,KCHI,
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,5.52,6.28,KCHI,m
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,6.42,7.6,KCHI,v a
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,8.12,9.0,KCHI,e
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,10.82,11.56,KCHI,
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,12.4,13.12,KCHI,
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,13.98,14.94,KCHI,
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,15.92,16.32,KCHI,e
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,16.66,17.08,KCHI,e
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,17.48,19.62,KCHI,e a
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,24.2,24.92,KCHI,ɛ ɛ
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,26.86,27.5,KCHI,ɛ
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,32.12,33.16,KCHI,œ
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,36.94,37.38,KCHI,m
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,39.2,39.3,KCHI,
sub-N6O9P4J0Q2_ses-01_task-socialroutine_run-01_audio__80516c0bf4b9b09f1ecf5e89a96634df.wav,40.84,41.86,KCHI,a a
