filename,onset,offset,speaker,phonemes
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,1.58,3.38,KCHI,a
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,3.98,7.96,KCHI,b a
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,8.82,8.98,KCHI,
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,13.74,14.7,KCHI,a
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,18.48,19.78,KCHI,a
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,22.34,22.88,KCHI,l a
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,26.0,27.16,KCHI,a
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,29.36,30.42,KCHI,ɡ a
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,31.56,33.0,KCHI,a
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,34.2,34.96,KCHI,d a
sub-O2U2C6W2S9_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__50bf5e49c653676e28c5ef059334d3ee.wav,39.28,39.76,KCHI,h a
