filename,onset,offset,speaker,phonemes
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,2.5,3.98,KCHI,n o
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,7.46,11.2,KCHI,v æ n ə l a ɪ l a ɪ d ɪ s
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,13.68,15.18,KCHI,n o ʊ
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,19.9,20.82,KCHI,s
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,22.64,23.24,KCHI,j ɛ
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,25.14,27.86,KCHI,o ʊ z ɪ n w ʌ n n ə ɹ
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,28.44,28.98,KCHI,
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,30.76,30.94,KCHI,
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,31.84,33.96,KCHI,
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,36.26,37.92,KCHI,a n ə a d u ɪ
sub-O5Q7I1O6N2_ses-02_task-bookshare_run-01_audio__8a857be2b65a19c792050129bffd1dd3.wav,43.34,43.52,KCHI,
