filename,onset,offset,speaker,phonemes
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,4.74,5.04,KCHI,m
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,6.16,6.94,KCHI,ɛ
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,12.4,13.46,KCHI,æ
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,14.1,15.08,KCHI,
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,16.66,17.34,KCHI,n o
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,27.86,28.3,KCHI,ɛ
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,31.72,31.84,KCHI,
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,47.46,47.76,KCHI,i h i
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,50.56,51.74,KCHI,
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,57.34,58.04,KCHI,a
sub-O6F1J9U1J2_ses-02_task-toyplay_run-02_audio__7a6ce13bbaa096558b3399d2934deaa0.wav,58.6,59.38,KCHI,u
