filename,onset,offset,speaker,phonemes
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,1.2,4.44,KCHI,a w a a
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,8.66,10.76,KCHI,a
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,16.38,17.76,KCHI,a a
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,19.9,22.28,KCHI,ʌ b ʌ
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,28.16,29.3,KCHI,l l a
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,31.84,33.18,KCHI,l a l l a
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,35.58,35.82,KCHI,
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,40.82,42.64,KCHI,w æ a
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,43.84,46.0,KCHI,ʌ æ ʌ
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,46.9,48.34,KCHI,
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,49.5,50.56,KCHI,ə b a
sub-O7X6W5O8E0_ses-01_task-dailyroutine_run-01_audio__dccc99fc0f9395b9c2a6abd666442338.wav,51.64,51.74,KCHI,
