filename,onset,offset,speaker,phonemes
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,3.98,6.3,KCHI,d ɛ d a
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,9.26,10.84,KCHI,æ d ʌ
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,16.9,17.5,KCHI,d ɪ
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,20.84,21.96,KCHI,d æ d a
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,24.46,24.72,KCHI,
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,26.58,27.86,KCHI,
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,31.28,31.84,KCHI,d ʌ
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,34.08,34.82,KCHI,
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,35.34,36.72,KCHI,a
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,37.52,38.22,KCHI,
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,43.78,45.7,KCHI,d æ d ʌ d ʌ d ʌ d ʌ
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,49.6,50.74,KCHI,d a
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,51.14,51.74,KCHI,a
sub-R4O0P4P3J4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__d310f53275b858a42d7f3aebac169c0b.wav,54.34,55.72,KCHI,ɡ ʌ ɡ æ
