filename,onset,offset,speaker,phonemes
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,21.7,22.32,KCHI,ɪ h i h æ
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,25.26,26.42,KCHI,h a a a
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,26.52,27.0,KCHI,h a h
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,27.86,28.72,KCHI,h a
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,31.84,32.64,KCHI,h a h a
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,33.06,34.02,KCHI,h a a
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,37.04,37.44,KCHI,a
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,37.78,38.86,KCHI,w i i
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,48.4,49.04,KCHI,h ʌ
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,61.14,61.24,KCHI,
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,61.5,61.84,KCHI,
sub-R7K7C0J8C1_ses-01_task-bookshare_run-01_audio__90544cc5bbf013921e9470b46c8c3147.wav,63.68,64.06,KCHI,
