filename,onset,offset,speaker,phonemes
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,5.16,6.24,KCHI,a
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,7.52,9.9,KCHI,
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,10.8,11.5,KCHI,e
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,13.14,14.22,KCHI,
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,14.82,17.06,KCHI,ɛ
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,20.16,20.96,KCHI,n e
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,22.6,23.64,KCHI,e
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,31.64,33.56,KCHI,
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,36.04,36.56,KCHI,m
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,37.76,38.28,KCHI,m
sub-R7K7C0J8C1_ses-01_task-generalsocialcommunicationinteraction_run-05_audio__8466f7f2207c9a5709a3be6006284b93.wav,42.42,43.2,KCHI,æ
