filename,onset,offset,speaker,phonemes
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,2.16,2.96,KCHI,i s
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,3.98,4.74,KCHI,z e
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,5.76,6.68,KCHI,e e
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,7.04,9.74,KCHI,d a s o s o z o
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,10.96,11.72,KCHI,a
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,14.52,15.78,KCHI,s i s ɪ
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,16.6,16.92,KCHI,m
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,22.66,23.72,KCHI,b æ
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,24.2,26.16,KCHI,d d a d d æ d k
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,26.46,28.3,KCHI,d d d a d a
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,28.88,30.02,KCHI,ʌ d ɪ d ɡ o
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,32.66,33.38,KCHI,ɛ
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,33.64,35.7,KCHI,b a b a
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,36.04,38.66,KCHI,b l a b æ b a b a l a
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,39.08,40.7,KCHI,a b l æ b b æ b a
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,41.34,42.86,KCHI,s n ɪ n
sub-S2C4T1Y7V7_ses-01_task-generalsocialcommunicationinteraction_run-07_audio__39b8c0908b2ddfc340f74fc3ebf83495.wav,62.18,63.14,KCHI,l ɛ
