filename,onset,offset,speaker,phonemes
sub-S4C2W1M7Q0_ses-01_task-toyplay_run-03_audio__8f7bf941f862ce228a03e694d53c0dce.wav,10.86,12.68,KCHI,i æ
sub-S4C2W1M7Q0_ses-01_task-toyplay_run-03_audio__8f7bf941f862ce228a03e694d53c0dce.wav,19.9,20.3,KCHI,
sub-S4C2W1M7Q0_ses-01_task-toyplay_run-03_audio__8f7bf941f862ce228a03e694d53c0dce.wav,23.88,24.16,KCHI,
sub-S4C2W1M7Q0_ses-01_task-toyplay_run-03_audio__8f7bf941f862ce228a03e694d53c0dce.wav,27.28,27.86,KCHI,d a
sub-S4C2W1M7Q0_ses-01_task-toyplay_run-03_audio__8f7bf941f862ce228a03e694d53c0dce.wav,31.34,31.84,KCHI,j ɑ
sub-S4C2W1M7Q0_ses-01_task-toyplay_run-03_audio__8f7bf941f862ce228a03e694d53c0dce.wav,38.4,38.92,KCHI,d a
sub-S4C2W1M7Q0_ses-01_task-toyplay_run-03_audio__8f7bf941f862ce228a03e694d53c0dce.wav,44.68,45.0,KCHI,æ n d a j k æ
sub-S4C2W1M7Q0_ses-01_task-toyplay_run-03_audio__8f7bf941f862ce228a03e694d53c0dce.wav,45.12,46.62,KCHI,h ɛ l ɡ ɑ æ f ə d ɪ s
sub-S4C2W1M7Q0_ses-01_task-toyplay_run-03_audio__8f7bf941f862ce228a03e694d53c0dce.wav,46.94,47.3,KCHI,b ʌ l ə
sub-S4C2W1M7Q0_ses-01_task-toyplay_run-03_audio__8f7bf941f862ce228a03e694d53c0dce.wav,49.58,50.2,KCHI,
