filename,onset,offset,speaker,phonemes
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,0.14,0.48,KCHI,
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,0.84,2.68,KCHI,a
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,4.68,4.82,KCHI,
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,6.42,7.52,KCHI,a j a
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,9.74,10.08,KCHI,
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,10.4,10.84,KCHI,
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,12.82,13.66,KCHI,a
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,13.84,15.56,KCHI,a a w a
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,21.26,21.62,KCHI,
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,23.88,24.5,KCHI,
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,28.8,29.44,KCHI,
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,29.92,31.66,KCHI,
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,32.36,33.64,KCHI,ɛ̃
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,40.64,42.64,KCHI,a
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,46.64,47.26,KCHI,
sub-S4O9O2E5Z0_ses-01_task-socialroutine_run-03_audio__4b700c78a7cbcda533641d3136b42784.wav,47.58,47.76,KCHI,
