filename,onset,offset,speaker,phonemes
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,1.94,3.04,KCHI,t e t ɛ
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,4.44,5.42,KCHI,ʌ
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,8.52,11.94,KCHI,ŋ ʌ ŋ
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,19.38,20.48,KCHI,ɡ ɪ
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,20.82,21.4,KCHI,ɪ
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,22.24,23.46,KCHI,ʌ l ʌ
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,50.26,51.74,KCHI,
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,53.52,54.32,KCHI,
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,54.48,55.94,KCHI,
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,56.36,56.5,KCHI,
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,56.6,57.54,KCHI,
sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__1c1b7dc7416ab33f4d0392f61424ea40.wav,59.18,59.68,KCHI,
