filename,onset,offset,speaker,phonemes
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,2.3,2.82,KCHI,b æ
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,10.98,12.52,KCHI,æ
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,15.92,16.42,KCHI,i
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,19.9,20.7,KCHI,m
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,20.8,21.74,KCHI,m
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,21.9,23.66,KCHI,t ɪ ɡ ə t ɪ k ə t ə k ɑ
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,23.88,24.9,KCHI,
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,26.98,28.26,KCHI,æ
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,29.4,30.7,KCHI,ʌ
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,31.18,31.68,KCHI,
sub-S7F0B6H3A3_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__3be5ddb6f01e518c5ed97be69a977140.wav,32.18,33.48,KCHI,
