filename,onset,offset,speaker,phonemes
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,0.0,1.92,KCHI,z ɪ s l e w ʌ d ɪ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,4.2,5.6,KCHI,d o d i d
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,6.08,6.8,KCHI,d ʌ d w ɪ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,13.9,15.04,KCHI,æ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,15.26,15.92,KCHI,ɡ e ɪ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,16.94,19.9,KCHI,k æ k æ æ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,22.58,24.16,KCHI,k æ b a
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,27.12,29.58,KCHI,ɡ e ɡ a j æ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,34.36,35.28,KCHI,r a d i
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,36.84,37.66,KCHI,a d i
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,38.42,39.26,KCHI,i
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,43.78,45.98,KCHI,ʌ s i z i ɡ ə i ɡ ə d i z ʌ d i
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,47.92,51.74,KCHI,a ʒ a d ə d ʒ a ə s ɪ w ɪ z a ɪ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-05_audio__44405748cd0c88a3c514708b66d42f0b.wav,53.92,55.16,KCHI,j æ
