filename,onset,offset,speaker,phonemes
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,0.4,3.2,KCHI,w i w i o w i
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,4.2,5.26,KCHI,a v a ʊ s ɑ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,11.94,12.42,KCHI,
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,12.62,16.66,KCHI,j ɛ a ɪ ɡ ə w i w i o w i
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,23.5,25.54,KCHI,a o w a
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,31.84,33.38,KCHI,n ɑ̃
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,33.82,34.74,KCHI,n ɔ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,36.18,36.6,KCHI,a
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,36.84,37.1,KCHI,
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,37.22,37.42,KCHI,
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,37.82,38.78,KCHI,n ɑ̃
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,39.64,39.8,KCHI,ɔ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,43.86,44.26,KCHI,ʌ
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,59.4,59.7,KCHI,
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,59.86,60.72,KCHI,w a l
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,62.6,62.7,KCHI,
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,65.06,66.0,KCHI,o
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,67.48,67.66,KCHI,w a
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,71.64,72.18,KCHI,
sub-S9B3J7I4R1_ses-02_task-generalsocialcommunicationinteraction_run-07_audio__2869983a28362d0cee4a357de85b1a9c.wav,88.54,88.96,KCHI,m
