filename,onset,offset,speaker,phonemes
sub-S9B3J7I4R1_ses-02_task-toyplay_run-01_audio__733fca5e2d06835d67c373e334ac3c68.wav,2.68,2.92,KCHI,a
sub-S9B3J7I4R1_ses-02_task-toyplay_run-01_audio__733fca5e2d06835d67c373e334ac3c68.wav,5.48,5.82,KCHI,l a
sub-S9B3J7I4R1_ses-02_task-toyplay_run-01_audio__733fca5e2d06835d67c373e334ac3c68.wav,6.38,7.32,KCHI,l a
sub-S9B3J7I4R1_ses-02_task-toyplay_run-01_audio__733fca5e2d06835d67c373e334ac3c68.wav,9.3,12.32,KCHI,a a a a ə ɔ
sub-S9B3J7I4R1_ses-02_task-toyplay_run-01_audio__733fca5e2d06835d67c373e334ac3c68.wav,13.28,13.96,KCHI,ə d ə
sub-S9B3J7I4R1_ses-02_task-toyplay_run-01_audio__733fca5e2d06835d67c373e334ac3c68.wav,14.76,18.76,KCHI,ə d ə l a l ə a d a
sub-S9B3J7I4R1_ses-02_task-toyplay_run-01_audio__733fca5e2d06835d67c373e334ac3c68.wav,36.04,39.68,KCHI,z i z n o n o w ɪ m ʌ
sub-S9B3J7I4R1_ses-02_task-toyplay_run-01_audio__733fca5e2d06835d67c373e334ac3c68.wav,51.74,57.72,KCHI,l u u d u ɡ ʊ ɡ ə d u d u ɡ ʊ ɡ ʊ l u ɡ u l u ɡ ʌ l ə ɡ ʊ l u ɡ ʊ l u w ʊ l u ɡ ʊ l ʊ
sub-S9B3J7I4R1_ses-02_task-toyplay_run-01_audio__733fca5e2d06835d67c373e334ac3c68.wav,59.18,59.7,KCHI,
sub-S9B3J7I4R1_ses-02_task-toyplay_run-01_audio__733fca5e2d06835d67c373e334ac3c68.wav,88.24,91.54,KCHI,
