filename,onset,offset,speaker,phonemes
sub-S9D2T7Y9B1_ses-02_task-toyplay_run-01_audio__5782681f32edd898a6fba9282d20af05.wav,3.54,7.1,KCHI,ə ɛ̃ o n i n
sub-S9D2T7Y9B1_ses-02_task-toyplay_run-01_audio__5782681f32edd898a6fba9282d20af05.wav,9.7,10.7,KCHI,i k ɐ
sub-S9D2T7Y9B1_ses-02_task-toyplay_run-01_audio__5782681f32edd898a6fba9282d20af05.wav,10.84,14.44,KCHI,i k a o l i n m æ m p ə
sub-S9D2T7Y9B1_ses-02_task-toyplay_run-01_audio__5782681f32edd898a6fba9282d20af05.wav,23.16,24.1,KCHI,w ʌ z ə ɡ o
sub-S9D2T7Y9B1_ses-02_task-toyplay_run-01_audio__5782681f32edd898a6fba9282d20af05.wav,24.54,25.76,KCHI,j ʌ i t
sub-S9D2T7Y9B1_ses-02_task-toyplay_run-01_audio__5782681f32edd898a6fba9282d20af05.wav,27.38,28.18,KCHI,ə b ɪ k ɪ
sub-S9D2T7Y9B1_ses-02_task-toyplay_run-01_audio__5782681f32edd898a6fba9282d20af05.wav,28.96,31.42,KCHI,ɡ ɪ t ə ɡ e k ʌ p z ɪ s ə
sub-S9D2T7Y9B1_ses-02_task-toyplay_run-01_audio__5782681f32edd898a6fba9282d20af05.wav,32.22,33.28,KCHI,i t
sub-S9D2T7Y9B1_ses-02_task-toyplay_run-01_audio__5782681f32edd898a6fba9282d20af05.wav,34.86,35.82,KCHI,a k e ɪ
sub-S9D2T7Y9B1_ses-02_task-toyplay_run-01_audio__5782681f32edd898a6fba9282d20af05.wav,40.64,42.48,KCHI,k e ʁ e d e l a j ɡ ɔ
