filename,onset,offset,speaker,phonemes
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,40.12,40.82,KCHI,
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,41.16,41.94,KCHI,
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,42.24,43.08,KCHI,
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,43.78,44.1,KCHI,n ɛ
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,50.62,51.66,KCHI,
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,60.02,61.42,KCHI,ɡ u p a ʊ
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,62.18,63.3,KCHI,p ɪ t i
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,63.4,64.36,KCHI,ɡ o b ʌ ŋ
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,64.64,66.14,KCHI,t i t d i
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,68.12,69.5,KCHI,ɡ o n e ɪ t u i
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,70.5,71.64,KCHI,
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,75.74,76.22,KCHI,
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,82.04,83.14,KCHI,m
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,84.5,86.38,KCHI,
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,91.54,95.16,KCHI,a n ʊ a m a k ɛ n ɛ s
sub-T1G8F8W8Y8_ses-02_task-generalsocialcommunicationinteraction_run-03_audio__a306519607b4327aa42deb5baded0253.wav,96.4,96.98,KCHI,m
