filename,onset,offset,speaker,phonemes
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,1.72,3.42,KCHI,a
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,3.76,4.34,KCHI,a
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,4.46,4.92,KCHI,ʌ
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,17.62,18.14,KCHI,n
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,18.82,19.14,KCHI,ɡ a
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,19.46,20.94,KCHI,r i ɛ ʌ
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,30.2,30.84,KCHI,d o
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,32.82,33.82,KCHI,a
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,34.26,35.3,KCHI,a a h a
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,37.08,37.64,KCHI,o
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,39.48,41.02,KCHI,w ʌ w
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,41.96,42.66,KCHI,
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,43.78,44.14,KCHI,d u
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,45.2,46.54,KCHI,a w a d e
sub-T4J4L5S2E8_ses-01_task-dailyroutine_run-01_audio__24a22a9209bd56f263f79e83806586ca.wav,47.4,48.48,KCHI,b a
