filename,onset,offset,speaker,phonemes
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,1.56,2.4,KCHI,e
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,3.28,3.98,KCHI,ɛ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,8.8,9.48,KCHI,ɛ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,11.94,12.92,KCHI,e
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,13.28,13.4,KCHI,
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,13.5,14.2,KCHI,e
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,15.76,16.38,KCHI,ɪ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,18.6,19.12,KCHI,e
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,22.66,23.3,KCHI,e
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,26.22,27.46,KCHI,ʌ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,29.04,29.76,KCHI,ɡ ɛ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,32.7,33.58,KCHI,w o w ʌ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,34.48,35.72,KCHI,o b ʌ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,38.02,39.68,KCHI,i a ɪ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,43.28,43.78,KCHI,ɛ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,46.54,47.16,KCHI,ɪ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,49.76,50.64,KCHI,ʌ w ʌ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,56.66,57.62,KCHI,a
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,58.02,59.54,KCHI,a j a ɪ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,61.4,62.22,KCHI,a w a ɪ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,69.7,70.22,KCHI,w a
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,71.64,72.56,KCHI,d a
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,73.3,73.74,KCHI,ʊ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,88.08,88.46,KCHI,w e
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,92.22,92.76,KCHI,a
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,93.58,94.54,KCHI,a
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,97.28,98.38,KCHI,w a ɪ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,98.88,100.06,KCHI,a w i
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,102.42,103.2,KCHI,ɛ
sub-T4J4L5S2E8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__9cf5949e189e90e67bb889d35a4787f7.wav,103.82,105.98,KCHI,h ɪ h ɛ ɛ
