filename,onset,offset,speaker,phonemes
sub-V7D7K3H8B4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__91f66731fc38224a79d97daa55f2337e.wav,0.0,3.04,KCHI,i ɾ a s a ə ɪ d b a d i a s ɛ
sub-V7D7K3H8B4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__91f66731fc38224a79d97daa55f2337e.wav,3.98,6.84,KCHI,ʌ b ɛ y a b i k d ə w ɛ
sub-V7D7K3H8B4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__91f66731fc38224a79d97daa55f2337e.wav,7.96,10.88,KCHI,ʌ o k w ɑ s i k ɹ a b ɛ
sub-V7D7K3H8B4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__91f66731fc38224a79d97daa55f2337e.wav,12.46,15.32,KCHI,p a j d o s t a f d f a
sub-V7D7K3H8B4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__91f66731fc38224a79d97daa55f2337e.wav,15.92,20.66,KCHI,ʌ o ɡ w i ɡ ɪ d ə b ɛ f ɪ s k e ɡ a
sub-V7D7K3H8B4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__91f66731fc38224a79d97daa55f2337e.wav,21.86,24.8,KCHI,o ɪ t
sub-V7D7K3H8B4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__91f66731fc38224a79d97daa55f2337e.wav,27.12,27.7,KCHI,
sub-V7D7K3H8B4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__91f66731fc38224a79d97daa55f2337e.wav,27.86,29.78,KCHI,b ɪ ɡ d ʒ u w i m
sub-V7D7K3H8B4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__91f66731fc38224a79d97daa55f2337e.wav,31.84,35.82,KCHI,s ʌ ð f a ɡ a h ʌ
sub-V7D7K3H8B4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__91f66731fc38224a79d97daa55f2337e.wav,39.8,40.14,KCHI,
