filename,onset,offset,speaker,phonemes
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,0.9,1.4,KCHI,p n
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,2.16,2.74,KCHI,w i
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,3.38,3.88,KCHI,w ɔ
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,4.64,5.1,KCHI,ɛ f
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,5.78,6.26,KCHI,ɪ k s
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,6.88,7.62,KCHI,d ɛ t ɪ n
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,8.22,8.6,KCHI,e t
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,9.32,9.8,KCHI,ɹ ʌ n
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,10.42,10.82,KCHI,d ɛ n
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,11.58,12.22,KCHI,w ɛ w ɪ n
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,12.9,13.4,KCHI,w o l
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,14.24,14.88,KCHI,d ɪ d ɪ n
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,15.72,16.32,KCHI,ə t i n
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,17.08,17.76,KCHI,ɪ t i
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,19.78,20.66,KCHI,k s t i n
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,21.78,22.5,KCHI,ɪ n d ʒ i
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,23.34,23.88,KCHI,e t i
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,24.56,25.16,KCHI,w ə t i
sub-V9X2Q7S1E1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio__361a9b95a69c85d63016f39723cd5fe2.wav,26.18,27.12,KCHI,t ɪ t ɪ
