filename,onset,offset,speaker,phonemes
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,0.0,1.36,KCHI,b ʌ b i s ə ɹ
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,2.1,3.76,KCHI,b o ʊ b o ʊ b o ʊ
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,5.06,11.22,KCHI,k æ k k ʌ k ʌ k æ d i s ə ɹ d ɑ ɡ d ʌ d ʌ d ɑ ɡ
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,16.82,18.94,KCHI,ʌ ʌ a ʊ w ə p ɪ
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,20.4,22.24,KCHI,b ɪ b ɪ b ɪ ʃ
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,24.14,24.76,KCHI,ɡ ʌ
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,25.32,25.94,KCHI,ɡ b ɑ k
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,27.86,29.34,KCHI,h a h a h a s
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,35.82,37.24,KCHI,i ɡ w o ʊ
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,38.62,40.66,KCHI,d ʒ ɑ d ʒ ə d ʒ ɑ k ə
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,42.24,44.14,KCHI,k ʌ k ʌ k e k ə ɹ
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,44.82,47.6,KCHI,w a ɪ j ɪ w ʌ k w ʌ w a ɪ j ɪ
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,53.12,55.26,KCHI,m ʌ m ʌ m ʌ k i
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,55.92,58.32,KCHI,n o z n ʌ d ʌ n o
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,60.32,61.04,KCHI,s a
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,61.4,61.54,KCHI,a
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,63.68,63.84,KCHI,
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,64.0,65.72,KCHI,p ʌ p ə p e ɡ
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,82.34,84.2,KCHI,t ʌ t ʌ t a ɪ ɡ ə r
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,101.28,102.16,KCHI,b ɑ t s
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,104.1,105.38,KCHI,j ʌ j ʌ j u
sub-W2E0Z9B7Z8_ses-02_task-other_run-01_audio__3e0eafb662d337cf4bcface0091bcf8c.wav,107.1,107.8,KCHI,b ɹ ɑ
