filename,onset,offset,speaker,phonemes
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,0.0,10.32,KCHI,s l æ k a ʊ s i n i d ə d ɛ f n a ɪ t ʃ ɪ k m i s b ʌ k ɛ
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,11.16,11.94,KCHI,b i
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,12.62,17.58,KCHI,ə w ø t o w a n
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,22.32,25.52,KCHI,ə l ɔ l a ɪ f
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,25.78,28.74,KCHI,j u l ə d o w e ŋ ɪ ŋ
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,29.52,31.28,KCHI,f ʊ ɪ s t
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,31.84,48.84,KCHI,m ɑ m ɪ n t u z o w a ɪ d w æ d ʌ k s i n ɪ n d ə d æ f l a ɪ t ʃ ɛ k w i s p w ɛ l ɡ ɛ m p i k w ɐ̃ n t o
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,49.1,50.56,KCHI,s m ɛ
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,54.6,65.82,KCHI,ɑ l o l a ɪ f j u d u w e ɪ n f ʊ d ə z m ʌ m ɛ n t u l o w a ɪ
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,67.66,68.22,KCHI,
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,72.18,79.34,KCHI,f l a ɪ æ n t s ə t ə n a ɪ t ə t ə ɡ l a k s k a ɪ
sub-W3P0N4W0X9_ses-02_task-dailyroutine_run-02_audio__092691050c77695b1d068bda16e6485d.wav,80.0,80.42,KCHI,d
