filename,onset,offset,speaker,phonemes
sub-W4O4B5W7K0_ses-01_task-bookshare_run-02_audio__37cf4e5d33a71f854455d7d7b7b2ee97.wav,0.44,3.06,KCHI,ʌ m b ʌ
sub-W4O4B5W7K0_ses-01_task-bookshare_run-02_audio__37cf4e5d33a71f854455d7d7b7b2ee97.wav,4.62,5.34,KCHI,b æ
sub-W4O4B5W7K0_ses-01_task-bookshare_run-02_audio__37cf4e5d33a71f854455d7d7b7b2ee97.wav,18.74,19.54,KCHI,w ʊ
sub-W4O4B5W7K0_ses-01_task-bookshare_run-02_audio__37cf4e5d33a71f854455d7d7b7b2ee97.wav,36.02,37.08,KCHI,w ɔ b o
sub-W4O4B5W7K0_ses-01_task-bookshare_run-02_audio__37cf4e5d33a71f854455d7d7b7b2ee97.wav,39.8,40.56,KCHI,d æ t
sub-W4O4B5W7K0_ses-01_task-bookshare_run-02_audio__37cf4e5d33a71f854455d7d7b7b2ee97.wav,42.68,43.48,KCHI,d æ
sub-W4O4B5W7K0_ses-01_task-bookshare_run-02_audio__37cf4e5d33a71f854455d7d7b7b2ee97.wav,44.36,45.28,KCHI,
sub-W4O4B5W7K0_ses-01_task-bookshare_run-02_audio__37cf4e5d33a71f854455d7d7b7b2ee97.wav,52.12,52.76,KCHI,d ɪ d ʌ
sub-W4O4B5W7K0_ses-01_task-bookshare_run-02_audio__37cf4e5d33a71f854455d7d7b7b2ee97.wav,55.72,56.3,KCHI,u
sub-W4O4B5W7K0_ses-01_task-bookshare_run-02_audio__37cf4e5d33a71f854455d7d7b7b2ee97.wav,57.44,58.34,KCHI,d æ j ɛ
