filename,onset,offset,speaker,phonemes
sub-W4O4B5W7K0_ses-02_task-toyplay_run-01_audio__12dfdcf6f69da9ac57f9eaaef91e7f15.wav,0.0,0.66,KCHI,l ə ɹ
sub-W4O4B5W7K0_ses-02_task-toyplay_run-01_audio__12dfdcf6f69da9ac57f9eaaef91e7f15.wav,2.62,3.86,KCHI,a ɪ b ɹ æ ʃ ə n
sub-W4O4B5W7K0_ses-02_task-toyplay_run-01_audio__12dfdcf6f69da9ac57f9eaaef91e7f15.wav,9.3,10.82,KCHI,o ʊ ɪ n ə a ɪ
sub-W4O4B5W7K0_ses-02_task-toyplay_run-01_audio__12dfdcf6f69da9ac57f9eaaef91e7f15.wav,12.98,14.06,KCHI,ɪ n i ɹ
sub-W4O4B5W7K0_ses-02_task-toyplay_run-01_audio__12dfdcf6f69da9ac57f9eaaef91e7f15.wav,15.06,16.1,KCHI,ɪ ŋ k o ʊ
sub-W4O4B5W7K0_ses-02_task-toyplay_run-01_audio__12dfdcf6f69da9ac57f9eaaef91e7f15.wav,18.62,20.4,KCHI,ʌ i z j ʌ k i
sub-W4O4B5W7K0_ses-02_task-toyplay_run-01_audio__12dfdcf6f69da9ac57f9eaaef91e7f15.wav,23.64,24.88,KCHI,ɪ n t ɛ m
sub-W4O4B5W7K0_ses-02_task-toyplay_run-01_audio__12dfdcf6f69da9ac57f9eaaef91e7f15.wav,25.5,26.64,KCHI,ɪ n d ə b ɛ w i
sub-W4O4B5W7K0_ses-02_task-toyplay_run-01_audio__12dfdcf6f69da9ac57f9eaaef91e7f15.wav,27.86,29.64,KCHI,ɛ h ə ɪ n d ə p w ɑ s
sub-W4O4B5W7K0_ses-02_task-toyplay_run-01_audio__12dfdcf6f69da9ac57f9eaaef91e7f15.wav,32.48,33.16,KCHI,w ʌ s k ʌ
