filename,onset,offset,speaker,phonemes
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,13.1,14.44,KCHI,d e d i
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,23.62,23.88,KCHI,d ɪ
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,35.82,36.76,KCHI,w ɪ d æ
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,55.28,55.56,KCHI,
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,57.24,57.82,KCHI,ɡ æ
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,65.24,66.4,KCHI,d ɛ d i
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,70.56,71.2,KCHI,d æ d i
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,93.14,94.64,KCHI,n
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,104.64,105.42,KCHI,ɛ h ɪ h ɪ h
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,115.16,115.42,KCHI,h ɛ
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,125.5,125.88,KCHI,l æ
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,131.34,131.62,KCHI,
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,134.22,134.86,KCHI,
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,141.26,141.62,KCHI,
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,143.28,143.58,KCHI,
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,151.24,151.38,KCHI,
sub-W9S0D6Q7Z5_ses-01_task-generalsocialcommunicationinteraction_run-02_audio__9e736c1834f5ee097d126aca3867a622.wav,160.6,161.9,KCHI,
