filename,onset,offset,speaker,phonemes
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,16.16,16.9,KCHI,u
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,27.96,31.06,KCHI,w i a
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,39.42,42.98,KCHI,j e j e
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,43.78,44.46,KCHI,
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,44.7,46.96,KCHI,i
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,47.22,50.38,KCHI,j e
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,56.62,58.98,KCHI,
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,59.32,61.5,KCHI,i
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,74.88,76.9,KCHI,i
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,77.14,77.54,KCHI,
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,86.92,87.82,KCHI,i
sub-X2N4R2N5V8_ses-01_task-toyplay_run-03_audio__a3dbfb09f57da15c3dfa3a8214553a7f.wav,88.44,88.62,KCHI,
