filename,onset,offset,speaker,phonemes
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,0.52,2.28,KCHI,d o d ɑ
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,7.96,8.84,KCHI,
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,10.16,11.9,KCHI,ʌ æ
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,15.92,17.08,KCHI,m
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,28.2,29.52,KCHI,w a ɪ j k ɛ e
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,29.76,30.72,KCHI,a n ɛ
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,31.06,31.64,KCHI,j ʌ j ɛ
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,34.02,35.66,KCHI,w a ɪ j k ɛ
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,42.74,43.62,KCHI,i w ə
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,50.9,51.62,KCHI,i ə
sub-X2V2P0U5X4_ses-01_task-generalsocialcommunicationinteraction_run-01_audio__3259922b04b8b89c12b3b4fc9c27f99a.wav,53.84,54.36,KCHI,i ə
