filename,onset,offset,speaker,phonemes
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,1.7,3.3,KCHI,a n e t ɛ
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,4.04,5.3,KCHI,d ɔ n a f t
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,7.68,8.6,KCHI,t ɔ ʁ n a f
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,10.82,11.94,KCHI,a w v ɛ t
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,15.92,17.36,KCHI,s a m t u
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,18.18,19.3,KCHI,ɔ k e j
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,29.34,29.82,KCHI,j æ
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,32.0,32.66,KCHI,j æ
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,37.36,38.38,KCHI,ʌ h o
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,39.8,41.14,KCHI,t ə k w ɑ k
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,43.88,44.68,KCHI,o
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,45.54,46.74,KCHI,o k e
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,48.0,49.46,KCHI,d u s
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,53.3,54.54,KCHI,t t i n a ɪ n
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,55.2,56.3,KCHI,t ə t i n a ɪ n
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,57.22,57.72,KCHI,j æ
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,73.02,73.76,KCHI,n æ
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,77.5,78.66,KCHI,d æ
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,79.42,79.98,KCHI,ʌ t æ
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,80.66,81.46,KCHI,ʌ m
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,82.92,83.74,KCHI,ʌ k i n
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,84.96,85.9,KCHI,d o n ʌ f
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,87.56,87.96,KCHI,k e
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,91.54,92.54,KCHI,ə n ə b ɔ
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,95.52,96.24,KCHI,a k i k o
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,97.26,97.92,KCHI,ʌ h o
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,101.4,102.38,KCHI,p ʊ n ɪ b ɔ
sub-Y6Z4H0C5U2_ses-02_task-generalsocialcommunicationinteraction_run-01_audio__60dfe5c529850faab1c60c9f484335be.wav,104.1,104.68,KCHI,j æ
