filename,onset,offset,speaker,phonemes
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,26.22,27.02,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,34.4,34.76,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,37.76,38.56,KCHI,m
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,46.38,48.92,KCHI,m
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,50.32,50.56,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,62.24,63.14,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,63.68,65.0,KCHI,m
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,67.66,68.34,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,82.68,83.04,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,97.88,98.44,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,117.34,117.82,KCHI,m
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,123.5,125.96,KCHI,m
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,130.98,131.62,KCHI,m
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,131.8,132.12,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,141.98,143.28,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,148.12,148.7,KCHI,n ʌ
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,151.24,154.66,KCHI,m m
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,155.22,156.42,KCHI,m
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,160.64,161.06,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,161.18,162.38,KCHI,
sub-Z7I5F2E1L4_ses-01_task-generalsocialcommunicationinteraction_run-03_audio__109361219597a1bb90ef4656995a9dcb.wav,165.04,166.02,KCHI,m m
