filename,onset,offset,speaker,phonemes
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,23.88,24.48,KCHI,
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,81.5,82.12,KCHI,
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,278.6,278.92,KCHI,d ɛ
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,286.08,286.56,KCHI,
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,350.24,351.76,KCHI,j ɛ s d æ d i
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,369.66,370.14,KCHI,
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,449.74,453.74,KCHI,d ə b a ɪ ɡ o n s ɪ d a ʊ n s ə ɹ
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,510.68,511.14,KCHI,ə n ə m ɑ
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,518.5,519.16,KCHI,
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,533.32,533.9,KCHI,h o h o
vh_brownf__5f40ffbaf4322aacd861d73cacfb387b.wav,540.34,541.24,KCHI,
