filename,onset,offset,speaker,phonemes
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,3.74,3.96,KCHI,
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,11.7,11.94,KCHI,z ə
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,15.92,17.04,KCHI,
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,18.3,19.86,KCHI,n ə d o w ɛ
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,20.36,21.54,KCHI,n s
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,107.92,109.4,KCHI,w
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,152.44,153.28,KCHI,o
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,158.9,159.2,KCHI,
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,201.52,202.26,KCHI,
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,238.66,238.8,KCHI,
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,280.18,282.14,KCHI,m
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,290.62,290.74,KCHI,
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,291.02,292.28,KCHI,n
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,321.04,322.98,KCHI,ŋ ə
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,338.3,339.62,KCHI,
vh_riotf__a9898b6ea7554c0ce35b73bf7702fed8.wav,345.78,346.26,KCHI,
