filename,onset,offset,speaker,phonemes
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,10.16,12.76,KCHI,j ɛ s w ʌ t s d ɪ s
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,19.9,20.6,KCHI,o
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,101.62,102.72,KCHI,w i
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,135.32,136.08,KCHI,
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,151.92,152.58,KCHI,
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,155.52,155.64,KCHI,
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,155.76,158.66,KCHI,ʃ i w e ɪ d a t e ɪ k ə n æ p
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,168.9,170.06,KCHI,z o d ə n
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,182.64,183.08,KCHI,
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,225.88,226.52,KCHI,
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,281.86,282.5,KCHI,s t u
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,307.86,308.62,KCHI,h i p o
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,317.46,318.08,KCHI,w ʊ s i ɡ æ t s
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,348.96,349.5,KCHI,h i ə
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,373.38,374.12,KCHI,
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,497.5,498.5,KCHI,
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,519.2,520.1,KCHI,w æ
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,523.3,523.96,KCHI,h u
vh_skipf__f24c45cbf3172f5c29e4857b432d60b7.wav,569.14,569.76,KCHI,ʃ i
