filename,onset,offset,speaker,phonemes
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,94.16,94.66,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,103.48,103.66,KCHI,ə
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,135.16,135.32,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,146.58,147.26,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,187.06,187.9,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,198.74,199.0,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,218.9,219.38,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,220.64,220.96,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,221.32,222.48,KCHI,a
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,258.7,258.94,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,307.06,308.16,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,311.38,314.18,KCHI,d ʌ
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,317.98,318.4,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,333.0,333.54,KCHI,
vh_vailf__2ef5c8db545684b64090185ff0bd48d4.wav,337.04,337.44,KCHI,
