child_id,timepoint,n_clips,n_positive,n_negative,n_fp,n_fn,accuracy,mean_kchi_dur,mean_phon_unique,mean_n_children,mean_n_adults,pct_interaction
G8Q8I6N0I3,14_month,2,2,0,0,2,0.0,0.56,0.0,1.0,1.0,1.0
F6J0V8B6S4,36_month,1,0,1,1,0,0.0,1.28,3.0,1.0,1.0,1.0
S6T9X3C8Y2,14_month,2,0,2,2,0,0.0,0.98,2.5,2.0,0.0,0.5
N2H7T0A7U5,36_month,1,0,1,1,0,0.0,2.24,4.0,1.0,0.0,0.0
S4C2W1M7Q0,36_month,4,3,1,0,3,0.25,0.0,0.0,2.25,0.25,0.75
R4O0P4P3J4,14_month,3,3,0,0,2,0.3333333333333333,1.8533333333333335,4.333333333333333,1.3333333333333333,0.3333333333333333,1.0
A2P7X9N8L7,14_month,5,4,1,1,2,0.4,7.412000000000002,3.8,1.2,0.4,1.0
M5O1K4W9O1,14_month,5,5,0,0,3,0.4,1.0759999999999998,1.8,1.0,0.2,0.8
G3D3S2N7W8,14_month,2,1,1,0,1,0.5,0.0,0.0,1.0,0.0,1.0
R2C7W8X7N9,14_month,2,0,2,1,0,0.5,1.98,8.0,2.5,2.0,0.5
S9B3J7I4R1,14_month,6,5,1,0,3,0.5,8.520000000000001,4.333333333333333,1.3333333333333333,0.3333333333333333,0.5
Q9W9P7Z3J7,14_month,6,4,2,1,2,0.5,2.72,1.3333333333333333,1.0,0.5,0.6666666666666666
H7C3T0K5E5,14_month,4,4,0,0,2,0.5,1.02,3.5,1.25,0.25,0.75
A3G3T7I1A5,14_month,4,4,0,0,2,0.5,2.99,2.5,1.0,0.75,1.0
B4Q3G8H2N3,14_month,8,7,1,0,4,0.5,6.3725000000000005,7.0,1.25,0.5,0.75
C1I8N8L4Q4,36_month,2,1,1,1,0,0.5,3.64,5.5,1.5,0.0,0.5
W3P0N4W0X9,14_month,6,6,0,0,3,0.5,7.253333333333333,9.666666666666666,1.1666666666666667,0.8333333333333334,0.8333333333333334
W7P7J6H1H6,14_month,2,1,1,0,1,0.5,0.0,0.0,1.0,0.5,0.5
X2N4R2N5V8,36_month,2,2,0,0,1,0.5,2.7800000000000002,0.5,1.0,0.5,1.0
J4J6X7C4D9,14_month,5,4,1,0,2,0.6,3.2600000000000002,0.6,1.0,0.8,0.8
D4Y7P4G2V4,14_month,5,4,1,0,2,0.6,32.708000000000006,7.4,1.8,0.4,1.0
S7F0B6H3A3,14_month,5,4,1,1,1,0.6,4.268,3.6,1.0,0.2,1.0
G3A6S5R9F7,14_month,5,3,2,0,2,0.6,0.852,0.4,1.0,0.2,1.0
L6F2P7K8P1,14_month,5,5,0,0,2,0.6,3.2,3.6,1.0,0.2,0.6
R6R8Q6A7K0,14_month,8,5,3,1,2,0.625,1.8375,4.5,1.5,0.375,0.75
C5U1P3X9F0,14_month,8,8,0,0,3,0.625,1.0350000000000001,1.75,1.0,0.125,0.625
E3O3H8O7H4,14_month,3,2,1,1,0,0.6666666666666666,3.5799999999999996,5.333333333333333,1.6666666666666667,0.0,0.6666666666666666
F8N7H3T0O1,14_month,6,4,2,2,0,0.6666666666666666,4.243333333333333,7.0,1.6666666666666667,0.16666666666666666,0.6666666666666666
E2P5Q8S5A7,14_month,3,2,1,0,1,0.6666666666666666,2.2466666666666666,3.3333333333333335,1.3333333333333333,0.3333333333333333,0.3333333333333333
A4E8K1L5Y2,36_month,3,3,0,0,1,0.6666666666666666,31.333333333333332,15.666666666666666,1.0,0.6666666666666666,1.0
B1L0B3F6F1,14_month,3,3,0,0,1,0.6666666666666666,1.4866666666666666,6.333333333333333,1.0,0.6666666666666666,1.0
A5X1S7S1E7,14_month,3,3,0,0,1,0.6666666666666666,4.206666666666666,4.666666666666667,1.0,0.0,1.0
V7D7K3H8B4,14_month,3,2,1,1,0,0.6666666666666666,15.813333333333333,12.0,1.0,0.0,0.3333333333333333
U6O5F2B7T5,14_month,3,3,0,0,1,0.6666666666666666,40.70666666666666,13.333333333333334,1.0,0.0,1.0
N5I9D3R2M1,14_month,4,4,0,0,1,0.75,9.86,9.75,1.25,0.0,0.75
Z2E7T3I3H2,14_month,4,3,1,0,1,0.75,5.015,6.0,1.25,0.25,1.0
D8G5K7I0D6,14_month,4,3,1,0,1,0.75,1.81,1.25,1.0,0.25,1.0
E7Z4G3O5K2,14_month,4,2,2,0,1,0.75,0.305,1.25,1.25,0.0,0.75
H3B5L5F8T1,14_month,5,3,2,0,1,0.8,1.8720000000000003,2.6,1.0,0.2,0.6
C0O6X3N5Y7,14_month,10,8,2,0,2,0.8,3.178,2.1,1.6,0.4,0.9
T2H0J0N2Z5,14_month,5,4,1,1,0,0.8,1.8399999999999999,3.0,1.2,0.2,0.8
G4J8F6F4X0,14_month,11,6,5,0,2,0.8181818181818182,1.8672727272727272,2.5454545454545454,1.0,0.18181818181818182,0.7272727272727273
B1S3L8Q7Y6,14_month,17,13,4,1,2,0.8235294117647058,6.26470588235294,4.529411764705882,1.1176470588235294,0.0,0.7058823529411765
J3J0V4T8C3,14_month,12,10,2,0,2,0.8333333333333334,4.218333333333334,4.166666666666667,1.0,0.08333333333333333,0.6666666666666666
S2C4T1Y7V7,14_month,6,3,3,0,1,0.8333333333333334,3.0566666666666666,1.0,1.3333333333333333,0.0,0.6666666666666666
A6Y4Y7X2G1,14_month,6,2,4,1,0,0.8333333333333334,1.9833333333333332,0.8333333333333334,1.0,0.5,0.6666666666666666
L4M8P2T7S0,36_month,7,6,1,0,1,0.8571428571428571,2.545714285714286,8.428571428571429,1.2857142857142858,0.0,1.0
K6O1J5K7Z0,14_month,7,7,0,0,1,0.8571428571428571,2.8085714285714287,4.714285714285714,1.0,0.14285714285714285,0.7142857142857143
I8T4E2J3M6,14_month,8,2,6,0,1,0.875,0.34750000000000003,0.875,1.625,0.5,0.625
