child_id,timepoint_norm,n_segments,status
A2M5H0V6E3,14_month,30,ok
A2M5H0V6E3,36_month,24,ok
A4E8K1L5Y2,36_month,200,ok
A5S7G5T0S5,36_month,32,ok
A6S0V1J3G6,14_month,18,ok
A6S0V1J3G6,36_month,35,ok
A6Z2B3J2A9,14_month,53,ok
A6Z2B3J2A9,36_month,125,ok
B2R3Q8L2Y3,14_month,122,ok
B2R3Q8L2Y3,36_month,38,ok
B4Q3G8H2N3,14_month,29,ok
B4Q3G8H2N3,36_month,144,ok
B9P5V1I5O5,14_month,8,ok
B9P5V1I5O5,36_month,10,ok
C0O6X3N5Y7,14_month,71,ok
C0O6X3N5Y7,36_month,37,ok
C5L2D6N1W6,14_month,39,ok
C5L2D6N1W6,36_month,31,ok
C5U1P3X9F0,14_month,56,ok
C5U1P3X9F0,36_month,20,ok
C5Z9H8S3N8,36_month,12,ok
D4Y7P4G2V4,14_month,21,ok
D4Y7P4G2V4,36_month,200,ok
D8G5K7I0D6,14_month,44,ok
D8G5K7I0D6,36_month,5,ok
D8O8B2C4X2,14_month,37,ok
D8O8B2C4X2,36_month,77,ok
D9N0U7M9X3,14_month,20,ok
D9N0U7M9X3,36_month,85,ok
E2P5Q8S5A7,14_month,36,ok
E2P5Q8S5A7,36_month,48,ok
E7T7O3G7J5,14_month,8,ok
E7T7O3G7J5,36_month,30,ok
F6J0V8B6S4,14_month,6,ok
F6J0V8B6S4,36_month,42,ok
F8V2U5P1A0,14_month,39,ok
F8V2U5P1A0,36_month,77,ok
G2N1M4K2S0,14_month,11,ok
G3A6S5R9F7,14_month,37,ok
G3A6S5R9F7,36_month,83,ok
G3D3S2N7W8,14_month,27,ok
G7P6U6U2J5,14_month,95,ok
G7P6U6U2J5,36_month,90,ok
G8Q8I6N0I3,14_month,35,ok
G8Q8I6N0I3,36_month,87,ok
H3B5L5F8T1,14_month,74,ok
H3B5L5F8T1,36_month,56,ok
H7C3T0K5E5,14_month,37,ok
H7C3T0K5E5,36_month,22,ok
H9T5Y8D3A1,14_month,3,ok
H9T5Y8D3A1,36_month,9,ok
I1H5K9K8V1,14_month,33,ok
I1H5K9K8V1,36_month,15,ok
I8T4E2J3M6,14_month,7,ok
I8T4E2J3M6,36_month,5,ok
K6I1Q4G2V4,14_month,25,ok
K6I1Q4G2V4,36_month,48,ok
L5Q0Z1W8S2,14_month,11,ok
L5V8G4A3K7,14_month,47,ok
M2N1C8G1C8,14_month,12,ok
M2N1C8G1C8,36_month,1,ok
M4R4B8C7G8,14_month,15,ok
M4R4B8C7G8,36_month,31,ok
M5F7G8S4F0,14_month,43,ok
M5F7G8S4F0,36_month,17,ok
M5H7X4O2M2,14_month,46,ok
M5H7X4O2M2,36_month,27,ok
M5O1K4W9O1,14_month,21,ok
M5O1K4W9O1,36_month,21,ok
N1B1A2T8S1,14_month,24,ok
N2Z6J3E5Q5,14_month,63,ok
N2Z6J3E5Q5,36_month,45,ok
N3L7A1I2B9,14_month,200,ok
N3L7A1I2B9,36_month,181,ok
N5I9D3R2M1,14_month,48,ok
N5I9D3R2M1,36_month,45,ok
O2U2C6W2S9,14_month,38,ok
O2U2C6W2S9,36_month,15,ok
O5Q7I1O6N2,14_month,60,ok
O5Q7I1O6N2,36_month,53,ok
O6F1J9U1J2,14_month,28,ok
O6F1J9U1J2,36_month,46,ok
O7X6W5O8E0,14_month,105,ok
O7X6W5O8E0,36_month,196,ok
Q0Q8H5A0D0,14_month,16,ok
Q0Q8H5A0D0,36_month,23,ok
R2C7W8X7N9,14_month,9,ok
R7K7C0J8C1,14_month,51,ok
R7K7C0J8C1,36_month,36,ok
S7F0B6H3A3,14_month,33,ok
S7F0B6H3A3,36_month,82,ok
S7Y0I2P0S8,14_month,67,ok
S7Y0I2P0S8,36_month,69,ok
S9D2T7Y9B1,14_month,33,ok
S9D2T7Y9B1,36_month,29,ok
T2H0J0N2Z5,14_month,26,ok
T2H0J0N2Z5,36_month,13,ok
T4J4L5S2E8,14_month,48,ok
T8P2Z1M9O9,14_month,32,ok
T8P2Z1M9O9,36_month,13,ok
V7G3E2O2E6,14_month,8,ok
W2E0Z9B7Z8,36_month,42,ok
W3I4D2X4Z4,14_month,40,ok
W3I4D2X4Z4,36_month,22,ok
W3O7N1N8U2,14_month,23,ok
W3O7N1N8U2,36_month,13,ok
W4O4B5W7K0,14_month,23,ok
W4O4B5W7K0,36_month,62,ok
W9K7Y8Y0V6,36_month,89,ok
X1U1P0D1X3,14_month,10,ok
X1U1P0D1X3,36_month,30,ok
X2N4R2N5V8,14_month,18,ok
X2N4R2N5V8,36_month,15,ok
Y5C5R8P9Z5,36_month,19,ok
Z1J6X4Y3Z4,14_month,10,ok
Z1J6X4Y3Z4,36_month,12,ok
Z2E7T3I3H2,14_month,24,ok
Z2E7T3I3H2,36_month,18,ok
Z3C2V9T0V1,36_month,10,ok
