child_id,timepoint_norm,n_segments,status
A1H3H9Y3T1,14_month,33,ok
A1H3H9Y3T1,36_month,34,ok
A2M5H0V6E3,14_month,16,ok
A2M5H0V6E3,36_month,17,ok
A2P7X9N8L7,14_month,18,ok
A2P7X9N8L7,36_month,7,ok
A3G3T7I1A5,14_month,13,ok
A3G3T7I1A5,36_month,5,ok
A4E8K1L5Y2,36_month,74,ok
A5S7G5T0S5,36_month,27,ok
A5X1S7S1E7,14_month,1,ok
A5X1S7S1E7,36_month,0,no_valid_segments
A6S0V1J3G6,14_month,4,ok
A6S0V1J3G6,36_month,27,ok
A6Y4Y7X2G1,14_month,15,ok
A6Y4Y7X2G1,36_month,9,ok
A6Z2B3J2A9,14_month,28,ok
A6Z2B3J2A9,36_month,67,ok
A8P5O6Z7X6,14_month,1,ok
A8P5O6Z7X6,36_month,12,ok
B1L0B3F6F1,14_month,38,ok
B1L0B3F6F1,36_month,32,ok
B1S3L8Q7Y6,14_month,50,ok
B1S3L8Q7Y6,36_month,85,ok
B2R3Q8L2Y3,14_month,37,ok
B2R3Q8L2Y3,36_month,14,ok
B4Q3G8H2N3,14_month,23,ok
B4Q3G8H2N3,36_month,60,ok
B8I6G9P2G8,14_month,29,ok
B8I6G9P2G8,36_month,51,ok
B9P5V1I5O5,14_month,4,ok
B9P5V1I5O5,36_month,6,ok
C0O6X3N5Y7,14_month,25,ok
C0O6X3N5Y7,36_month,18,ok
C1G1X2G4C6,36_month,1,ok
C1I8N8L4Q4,14_month,11,ok
C1I8N8L4Q4,36_month,17,ok
C3A8Q4J6E5,14_month,12,ok
C4C7T6W2I0,14_month,7,ok
C4C7T6W2I0,36_month,9,ok
C5L2D6N1W6,14_month,7,ok
C5L2D6N1W6,36_month,16,ok
C5U1P3X9F0,14_month,19,ok
C5U1P3X9F0,36_month,17,ok
C5Z9H8S3N8,36_month,4,ok
D4Y7P4G2V4,14_month,5,ok
D4Y7P4G2V4,36_month,131,ok
D7O9E3F9P9,36_month,15,ok
D8G5K7I0D6,14_month,31,ok
D8G5K7I0D6,36_month,2,ok
D8O8B2C4X2,14_month,17,ok
D8O8B2C4X2,36_month,32,ok
D9N0U7M9X3,14_month,5,ok
D9N0U7M9X3,36_month,26,ok
E2P5Q8S5A7,14_month,14,ok
E2P5Q8S5A7,36_month,20,ok
E3O3H8O7H4,14_month,7,ok
E3O3H8O7H4,36_month,13,ok
E7G3N4A1K5,14_month,9,ok
E7G3N4A1K5,36_month,11,ok
E7T7O3G7J5,14_month,7,ok
E7T7O3G7J5,36_month,19,ok
E7Z4G3O5K2,14_month,3,ok
E7Z4G3O5K2,36_month,24,ok
F3M5F9D2S1,36_month,4,ok
F3N4H0K1Z1,14_month,48,ok
F3N4H0K1Z1,36_month,52,ok
F6J0V8B6S4,14_month,4,ok
F6J0V8B6S4,36_month,25,ok
F8N7H3T0O1,14_month,17,ok
F8N7H3T0O1,36_month,2,ok
F8V2U5P1A0,14_month,18,ok
F8V2U5P1A0,36_month,30,ok
G2N1M4K2S0,14_month,2,ok
G3A6S5R9F7,14_month,15,ok
G3A6S5R9F7,36_month,23,ok
G3D3S2N7W8,14_month,12,ok
G4J8F6F4X0,14_month,7,ok
G4J8F6F4X0,36_month,49,ok
G7P6U6U2J5,14_month,70,ok
G7P6U6U2J5,36_month,11,ok
G8Q8I6N0I3,14_month,18,ok
G8Q8I6N0I3,36_month,41,ok
H3B5L5F8T1,14_month,38,ok
H3B5L5F8T1,36_month,35,ok
H7C3T0K5E5,14_month,31,ok
H7C3T0K5E5,36_month,14,ok
H9T5Y8D3A1,14_month,2,ok
H9T5Y8D3A1,36_month,4,ok
I1H5K9K8V1,14_month,16,ok
I1H5K9K8V1,36_month,10,ok
I8T4E2J3M6,14_month,1,ok
I8T4E2J3M6,36_month,0,no_valid_segments
J3J0V4T8C3,14_month,68,ok
J3J0V4T8C3,36_month,27,ok
J4J6X7C4D9,14_month,6,ok
J4J6X7C4D9,36_month,15,ok
K2F6S2Q7M8,36_month,10,ok
K6I1Q4G2V4,14_month,8,ok
K6I1Q4G2V4,36_month,29,ok
K6O1J5K7Z0,14_month,20,ok
K6O1J5K7Z0,36_month,44,ok
