experiment,model_type,pooling,use_layer_weights,per_timepoint_threshold,augmentation,total_errors,error_rate,n_false_positives,n_false_negatives,fp_rate_multi_child,fp_rate_single_child,fn_rate_with_interaction,fn_rate_without_interaction
fused_attn_unfreeze2,fused,attn,False,True,False,79,0.1592741935483871,47,32,0.5517241379310345,0.3333333333333333,0.08024691358024691,0.12
whisper_mean,whisper,mean,False,False,False,90,0.1814516129032258,58,32,0.6551724137931034,0.41935483870967744,0.08333333333333333,0.1
whisper_attn,whisper,attn,False,False,False,91,0.18346774193548387,56,35,0.7241379310344828,0.3763440860215054,0.08950617283950617,0.12
fused_attn_lw,fused,attn,True,False,False,94,0.18951612903225806,74,20,0.7586206896551724,0.5591397849462365,0.040123456790123455,0.14
whisper_attn_ptt,whisper,attn,False,True,False,99,0.19959677419354838,67,32,0.6551724137931034,0.5161290322580645,0.08333333333333333,0.1
whisper_attn_unfreeze2,whisper,attn,False,True,False,99,0.19959677419354838,67,32,0.5517241379310345,0.5483870967741935,0.06790123456790123,0.2
whisper_attn_aug,whisper,attn,False,False,True,100,0.20161290322580644,56,44,0.5862068965517241,0.41935483870967744,0.10493827160493827,0.2
wavlm_attn,wavlm,attn,False,False,False,100,0.20161290322580644,74,26,0.6896551724137931,0.5806451612903226,0.06481481481481481,0.1
fused_attn,fused,attn,False,True,False,103,0.20766129032258066,72,31,0.7241379310344828,0.5483870967741935,0.08024691358024691,0.1
whisper_attn_aug_ptt,whisper,attn,False,True,True,105,0.21169354838709678,72,33,0.5517241379310345,0.6021505376344086,0.07098765432098765,0.2
wavlm_attn_lw,wavlm,attn,True,False,False,106,0.21370967741935484,91,15,0.7586206896551724,0.7419354838709677,0.027777777777777776,0.12
wavlm_mean,wavlm,mean,False,False,False,108,0.21774193548387097,95,13,0.896551724137931,0.7419354838709677,0.027777777777777776,0.08
whisper_stats_lw,whisper,stats,True,False,False,112,0.22580645161290322,90,22,0.8620689655172413,0.6989247311827957,0.043209876543209874,0.16
wavlm_stats_lw,wavlm,stats,True,False,False,118,0.23790322580645162,115,3,0.9655172413793104,0.9354838709677419,0.0030864197530864196,0.04
whisper_attn_lw,whisper,attn,True,False,False,122,0.24596774193548387,93,29,0.896551724137931,0.7204301075268817,0.05864197530864197,0.2
