experiment,error_type,total_errors,unique_errors,shared_errors,universal_errors,unique_pct
baseline_fused_attn,FP,72,0,72,1,0.0
baseline_fused_attn_lw,FP,74,0,74,1,0.0
baseline_fused_attn_unfreeze2,FP,47,0,47,1,0.0
baseline_wavlm_attn,FP,74,0,74,1,0.0
baseline_wavlm_attn_lw,FP,91,0,91,1,0.0
baseline_wavlm_mean,FP,95,0,95,1,0.0
baseline_wavlm_stats_lw,FP,115,0,115,1,0.0
baseline_whisper_attn,FP,56,0,56,1,0.0
baseline_whisper_attn_aug,FP,56,0,56,1,0.0
baseline_whisper_attn_aug_ptt,FP,72,0,72,1,0.0
baseline_whisper_attn_lw,FP,93,2,91,1,2.150537634408602
baseline_whisper_attn_ptt,FP,67,0,67,1,0.0
baseline_whisper_attn_unfreeze2,FP,67,0,67,1,0.0
baseline_whisper_mean,FP,58,0,58,1,0.0
baseline_whisper_stats_lw,FP,90,0,90,1,0.0
babar,FP,19,0,19,1,0.0
usc_sail_role_only,FP,84,0,84,1,0.0
usc_sail_enrollment,FP,77,0,77,1,0.0
pyannote,FP,66,4,62,1,6.0606060606060606
baseline_fused_attn,FN,31,3,28,0,9.67741935483871
baseline_fused_attn_lw,FN,20,0,20,0,0.0
baseline_fused_attn_unfreeze2,FN,32,5,27,0,15.625
baseline_wavlm_attn,FN,26,4,22,0,15.384615384615385
baseline_wavlm_attn_lw,FN,15,0,15,0,0.0
baseline_wavlm_mean,FN,13,0,13,0,0.0
baseline_wavlm_stats_lw,FN,3,0,3,0,0.0
baseline_whisper_attn,FN,35,1,34,0,2.857142857142857
baseline_whisper_attn_aug,FN,44,2,42,0,4.545454545454546
baseline_whisper_attn_aug_ptt,FN,33,1,32,0,3.0303030303030303
baseline_whisper_attn_lw,FN,29,13,16,0,44.827586206896555
baseline_whisper_attn_ptt,FN,32,0,32,0,0.0
baseline_whisper_attn_unfreeze2,FN,32,0,32,0,0.0
baseline_whisper_mean,FN,32,0,32,0,0.0
baseline_whisper_stats_lw,FN,22,1,21,0,4.545454545454546
babar,FN,70,42,28,0,60.0
usc_sail_role_only,FN,12,0,12,0,0.0
usc_sail_enrollment,FN,15,2,13,0,13.333333333333334
pyannote,FN,34,19,15,0,55.88235294117647
