variant,F1,AUROC,AUPRC,threshold,delta_F1,delta_AUROC
pure,0.8909,0.8933,0.9639,0.555,-0.0021,0.0153
blend_topk,0.8903,0.8944,0.9639,0.62,-0.0027,0.0164
cv_stacked,0.8959,0.8941,0.9638,0.54,0.0029,0.0161
fp_focused,0.8939,0.8936,0.9639,0.205,0.0009,0.0156
pair_disagreement,0.8966,0.8933,0.9636,0.515,0.0036,0.0153
bagged_stacker,0.8875,0.8932,0.9639,0.56,-0.0055,0.0152
topk_systems,0.8975,0.8929,0.9633,0.55,0.0045,0.0149
isotonic_weighted,0.8919,0.8924,0.9631,0.6,-0.0011,0.0144
rank_stacker,0.8954,0.8888,0.9619,0.475,0.0024,0.0108
per_timepoint,0.8912,0.8888,0.962,0.595,-0.0018,0.0108
confidence_weighted,0.9016,0.8853,0.9592,0.21,0.0086,0.0073
per_child_offset,0.8962,0.8842,0.959,0.54,0.0032,0.0062
calibrated_mean,0.8841,0.8804,0.9578,0.675,-0.0089,0.0024
cv_stacked_then_offset,0.883,0.8752,0.9515,0.63,-0.01,-0.0028
mean,0.8778,0.8654,0.9494,0.42,-0.0152,-0.0126
