system,objective,threshold,n_children_test,n_clips_test,f1_child_ci_low,f1_child_ci_high,balanced_acc_child_ci_low,balanced_acc_child_ci_high,mcc_child_ci_low,mcc_child_ci_high,auroc_child_ci_low,auroc_child_ci_high,auprc_child_ci_low,auprc_child_ci_high
babar_combined_runs::all_features,f1,0.1652196556584734,109,441,0.8513500954486084,0.9103662360466575,0.7359393247346806,0.8298892725771339,0.4527826787356774,0.6343047826694539,0.816541681121396,0.8967407695841917,0.9191138757493856,0.9613110760386243
babar_combined_runs::all_features,balanced_acc,0.4688322088721518,109,441,0.8318533138091296,0.8998532850495948,0.7615237007223594,0.8582408174145586,0.46690737787097314,0.6575925917849895,0.816541681121396,0.8967407695841917,0.9191138757493856,0.9613110760386243
babar_combined_runs::all_features,youden,0.4688322088721518,109,441,0.8318533138091296,0.8998532850495948,0.7615237007223594,0.8582408174145586,0.46690737787097314,0.6575925917849895,0.816541681121396,0.8967407695841917,0.9191138757493856,0.9613110760386243
babar_combined_runs::diarizer_all,f1,0.3437880600310041,109,441,0.8440634741833233,0.9049738162375948,0.7439335612845819,0.841218754400312,0.45529143430775565,0.6390155980260376,0.820098371164924,0.8930703028792089,0.9222945951387327,0.9588682313846488
babar_combined_runs::diarizer_all,balanced_acc,0.3930565380514651,109,441,0.8280419009115774,0.8940623304599433,0.7680890397405773,0.852572338800398,0.4722498186625884,0.6439040975873647,0.820098371164924,0.8930703028792089,0.9222945951387327,0.9588682313846488
babar_combined_runs::diarizer_all,youden,0.3930565380514651,109,441,0.8280419009115774,0.8940623304599433,0.7680890397405773,0.852572338800398,0.4722498186625884,0.6439040975873647,0.820098371164924,0.8930703028792089,0.9222945951387327,0.9588682313846488
babar_combined_runs::diarizer_plus_embedding,f1,0.1567465639423361,109,441,0.8464035136798523,0.9065880060184214,0.7450706589754237,0.842592006951729,0.45827329354562263,0.642134586589634,0.8135307457701031,0.8918604966885225,0.91618990140823,0.9591229935616423
babar_combined_runs::diarizer_plus_embedding,balanced_acc,0.438821867595323,109,441,0.8242577584657346,0.8906269117047309,0.7553102744582053,0.8513520132751241,0.44674167887165106,0.6433392904223666,0.8135307457701031,0.8918604966885225,0.91618990140823,0.9591229935616423
babar_combined_runs::diarizer_plus_embedding,youden,0.438821867595323,109,441,0.8242577584657346,0.8906269117047309,0.7553102744582053,0.8513520132751241,0.44674167887165106,0.6433392904223666,0.8135307457701031,0.8918604966885225,0.91618990140823,0.9591229935616423
babar_combined_runs::diarizer_plus_phoneme,f1,0.1530385167868166,109,441,0.8503747341801253,0.9096432162026301,0.7315453818830062,0.8264798563138444,0.4440606444637649,0.6311894671565966,0.8193990300795576,0.8967351578210583,0.9215956466300006,0.9616279175905448
babar_combined_runs::diarizer_plus_phoneme,balanced_acc,0.2628382595375306,109,441,0.8514497493160603,0.9067560150792772,0.76308872740596,0.8488870011397303,0.48914454240015187,0.6541762262056581,0.8193990300795576,0.8967351578210583,0.9215956466300006,0.9616279175905448
babar_combined_runs::diarizer_plus_phoneme,youden,0.2628382595375306,109,441,0.8514497493160603,0.9067560150792772,0.76308872740596,0.8488870011397303,0.48914454240015187,0.6541762262056581,0.8193990300795576,0.8967351578210583,0.9215956466300006,0.9616279175905448
babar_combined_runs::embedding_all,f1,0.169036244070586,109,441,0.8464035136798523,0.9065880060184214,0.7450706589754237,0.842592006951729,0.45827329354562263,0.642134586589634,0.8115769341230504,0.8894473175109211,0.9148510275155705,0.9569792927633328
babar_combined_runs::embedding_all,balanced_acc,0.5356318423372877,109,441,0.821427080849034,0.8913983492247038,0.7633174135503328,0.8533257188539779,0.45722266082212504,0.6427741078579091,0.8115769341230504,0.8894473175109211,0.9148510275155705,0.9569792927633328
babar_combined_runs::embedding_all,youden,0.5356318423372877,109,441,0.821427080849034,0.8913983492247038,0.7633174135503328,0.8533257188539779,0.45722266082212504,0.6427741078579091,0.8115769341230504,0.8894473175109211,0.9148510275155705,0.9569792927633328
babar_combined_runs::enrollment_only,f1,0.179464093489258,109,441,0.8464035136798523,0.9065880060184214,0.7450706589754237,0.842592006951729,0.45827329354562263,0.642134586589634,0.7711090382775876,0.8666684789791672,0.8881419838032946,0.9454398859991392
babar_combined_runs::enrollment_only,balanced_acc,0.3524110525490058,109,441,0.8447194129188211,0.9027748861418347,0.752117725727741,0.84331449622474,0.465314277343038,0.6429445939700683,0.7711090382775876,0.8666684789791672,0.8881419838032946,0.9454398859991392
babar_combined_runs::enrollment_only,youden,0.3524110525490058,109,441,0.8447194129188211,0.9027748861418347,0.752117725727741,0.84331449622474,0.465314277343038,0.6429445939700683,0.7711090382775876,0.8666684789791672,0.8881419838032946,0.9454398859991392
babar_combined_runs::gbm_all_features,f1,0.357100712963445,109,441,0.8359941605839416,0.904155985879389,0.7390267122333162,0.8384072103790268,0.44492532004593954,0.6329407646769531,0.7735686209522535,0.86565215571801,0.901689791642297,0.95108011563408
babar_combined_runs::gbm_all_features,balanced_acc,0.4912694813877252,109,441,0.8256195356924921,0.8962415013597824,0.7461012033819147,0.8420224761946994,0.4447913334407343,0.630302158993014,0.7735686209522535,0.86565215571801,0.901689791642297,0.95108011563408
