,BabAR,Pyannote,USC-SAIL,VTC,VTC-KCHI,VBx,TalkNet-ASD,EEND-EDA,Sortformer,WavLM-MIL,Whisper-MIL
BabAR,1.0,0.7302,0.7664,0.9002,1.0,0.746,0.4059,0.6961,0.7143,0.7596,0.7891
Pyannote,0.7302,1.0,0.8231,0.8027,0.7302,0.9116,0.322,0.8118,0.8571,0.8526,0.8141
USC-SAIL,0.7664,0.8231,1.0,0.8662,0.7664,0.8798,0.263,0.8526,0.8163,0.8844,0.8277
VTC,0.9002,0.8027,0.8662,1.0,0.9002,0.8322,0.3469,0.7823,0.7778,0.8277,0.8481
VTC-KCHI,1.0,0.7302,0.7664,0.9002,1.0,0.746,0.4059,0.6961,0.7143,0.7596,0.7891
VBx,0.746,0.9116,0.8798,0.8322,0.746,1.0,0.2789,0.873,0.8639,0.8776,0.7937
TalkNet-ASD,0.4059,0.322,0.263,0.3469,0.4059,0.2789,1.0,0.2472,0.288,0.2381,0.3628
EEND-EDA,0.6961,0.8118,0.8526,0.7823,0.6961,0.873,0.2472,1.0,0.805,0.8549,0.7528
Sortformer,0.7143,0.8571,0.8163,0.7778,0.7143,0.8639,0.288,0.805,1.0,0.8549,0.771
WavLM-MIL,0.7596,0.8526,0.8844,0.8277,0.7596,0.8776,0.2381,0.8549,0.8549,1.0,0.8481
Whisper-MIL,0.7891,0.8141,0.8277,0.8481,0.7891,0.7937,0.3628,0.7528,0.771,0.8481,1.0
